date;open;high;low;close;adjclose;volume;ticker
08/12/2023;194.1999969;195.9900055;193.6699982;195.7100067;195.7100067;53377300;AAPL
11/12/2023;193.1100006;193.4900055;191.4199982;193.1799927;193.1799927;60943700;AAPL
12/12/2023;193.0800018;194.7200012;191.7200012;194.7100067;194.7100067;52696900;AAPL
13/12/2023;195.0899963;198;194.8500061;197.9600067;197.9600067;70404200;AAPL
14/12/2023;198.0200043;199.6199951;196.1600037;198.1100006;198.1100006;66831600;AAPL
15/12/2023;197.5299988;198.3999939;197;197.5700073;197.5700073;128256700;AAPL
18/12/2023;196.0899963;196.6300049;194.3899994;195.8899994;195.8899994;55751900;AAPL
19/12/2023;196.1600037;196.9499969;195.8899994;196.9400024;196.9400024;40714100;AAPL
20/12/2023;196.8999939;197.6799927;194.8300018;194.8300018;194.8300018;52242800;AAPL
21/12/2023;196.1000061;197.0800018;193.5;194.6799927;194.6799927;46482500;AAPL
22/12/2023;195.1799927;195.4100037;192.9700012;193.6000061;193.6000061;37122800;AAPL
26/12/2023;193.6100006;193.8899994;192.8300018;193.0500031;193.0500031;28919300;AAPL
27/12/2023;192.4900055;193.5;191.0899963;193.1499939;193.1499939;48087700;AAPL
28/12/2023;194.1399994;194.6600037;193.1699982;193.5800018;193.5800018;34049900;AAPL
29/12/2023;193.8999939;194.3999939;191.7299957;192.5299988;192.5299988;42628800;AAPL
02/01/2024;187.1499939;188.4400024;183.8899994;185.6399994;185.6399994;82488700;AAPL
03/01/2024;184.2200012;185.8800049;183.4299927;184.25;184.25;58414500;AAPL
04/01/2024;182.1499939;183.0899963;180.8800049;181.9100037;181.9100037;71983600;AAPL
05/01/2024;181.9900055;182.7599945;180.1699982;181.1799927;181.1799927;62303300;AAPL
08/12/2023;369.2000122;374.4599915;368.230011;374.230011;374.230011;20144800;MSFT
11/12/2023;368.480011;371.6000061;366.1000061;371.2999878;371.2999878;27708800;MSFT
12/12/2023;370.8500061;374.4200134;370.4599915;374.3800049;374.3800049;24838300;MSFT
13/12/2023;376.019989;377.6400146;370.769989;374.3699951;374.3699951;30955500;MSFT
